Branch Name,Invoice Number,Invoice Date,Customer ID,Customer Name,Address,0 - 3 days,4 - 10 days,11 - 15 days,16 - 30 days,31 - 90 days,91 - 201 days,202+ days
KHLSKF,SKINV410-426670     ,20200704.0,41031106147,Sayed Pharmacy,Jaypur Bazar Rupaha Khulna                                  ,2904.25,,,,,,
KUSSKF,SKINV430-488952     ,20200704.0,43061109080,Borhanuddin Pharmacy Mr Tipu,Mandia Bazar Horinakundu Jhenaidah                          ,11957.81,,,,,,
KUSSKF,SKINV430-488475     ,20200704.0,43061000917,Nadim Pharmacy,AmjhupiBazar Meherpur                                       ,2605.68,,,,,,
KUSSKF,SKINV430-488887     ,20200704.0,43061105043,Maa Pharmacy,Sekra Bazar Shoilokupa                                      ,5017.24,,,,,,
MHKSKF,SKINV120-985034     ,20200704.0,90000038207,Mr. Mohammad Jaidul Islam AAO ,"Transcom Distribution Co. Ltd.Sadar Road, Mohakhali, Dhaka. ",1308.86,,,,,,
MHKSKF,SKINV120-985027     ,20200704.0,12010509440,Mr Iqbal Hossain Executive,Transcom Distribution CoLtdMohakhaliDhaka                   ,1570.63,,,,,,
MHKSKF,SKINV120-985035     ,20200704.0,12010511663,Mr.H.M.Ruman Uddin Sr Executiv,"Management Assurance,Transcom Distribution Co.Ltd.Gulshan To",1548.88,,,,,,
MHKSKF,SKINV120-984758     ,20200704.0,90000006712,Mrs Nargis Jahan Accounts Offi,"Transcom Distribution Co. Ltd,52, Motijheel,Dhaka           ",343.23,,,,,,
MHKSKF,SKINV120-984849     ,20200704.0,90000031487,Mr.Nazimul Haque Mazumder NSM ,"Transcom Distribution Co. Ltd.,Sadar Road, Mohakhal,Dhaka.  ",3141.25,,,,,,
MHKSKF,SKINV120-984457     ,20200704.0,90000033196,Md.Mamun Billah Executive Acco,"Transcom Distribution Co.Ltd. Sadar Road,Mohakhali,Dhaka.   ",572.05,,,,,,
MHKSKF,SKINV120-985026     ,20200704.0,90000016825,Md Sohel  AAO  VAT ,"Transcom Distribution Co.Ltd,Mohakhali,Dhaka                ",255.23,,,,,,
MHKSKF,SKINV120-985032     ,20200704.0,90000036462,Md.Ripon Mir SS,"Transcom Distribution Co.Ltd. Sadar Road,Mohakhali,Dhaka.   ",792.06,,,,,,
NAJSKF,SKINV130-532211     ,20200704.0,90000018269,A J Pharma & Diagonostic Cente,"Citygate,Jahanara Market,Rupganj,Narayanganj                ",12038.33,,,,,,
NAJSKF,SKINV130-531962     ,20200704.0,90000034284,Bismillah pharmacy  6 ,"Khan Bari More, Kobor stand Road. Bandar Bazer.Bandar,Naraya",9907.34,,,,,,
NAJSKF,SKINV130-532219     ,20200704.0,13030155814,Wazada Medicine Corner,Tatbazar Bulta Rupganj Narayanganj                          ,19560.52,,,,,,
NOKSKF,SKINV230-324792     ,20200704.0,23012100126,Agrabad Medical Hall,Main Road Laxmipur                                          ,22213.35,,,,,,
PATSKF,SKINV520-306218     ,20200704.0,90000035462,Sujon Medical Hall,Croke Sulij Barguna                                         ,7985.83,,,,,,
PATSKF,SKINV520-306065     ,20200704.0,52052000158,Aysha Medical Hall,Kasipur Bazar Patuakhali                                    ,19994.1,,,,,,
PBNSKF,SKINV350-314340     ,20200704.0,35081001884,Dr Foridul Islam,Gupirpara                                                   ,6560.72,,,,,,
PBNSKF,SKINV350-314745     ,20200704.0,90000015345,Satota Medicine Center,Bazar Station Sirajgong                                     ,8019.79,,,,,,
PBNSKF,SKINV350-314309     ,20200704.0,35035112066,Torun Medical Center,Indara Moor Pabna                                           ,8707.34,,,,,,
RAJSKF,SKINV310-454918     ,20200704.0,31071000012,City Pharmacy,Shaheb Bazar Boalia Rajshahi                                ,2760.0,,,,,,
RNGSKF,SKINV330-430023     ,20200704.0,90000023436,Mondol Medicin Corner,"Pathanerhat Laldhighi, Bodorgonj                            ",4973.64,,,,,,
SAVSKF,SKINV170-402759     ,20200704.0,17010506660,Sopno Pharmacy,"Boro Mosjid Road,Jalashor,Savar                             ",10040.15,,,,,,
SAVSKF,SKINV170-402870     ,20200704.0,90000005514,Alihi Pharmacy ,Panduia Bazar nabinagar                                     ,9923.33,,,,,,
SAVSKF,SKINV170-402960     ,20200704.0,170150827,Bhi Bhi Pharmacy,"Post Office Road , Aricha Shibaloy                          ",4981.24,,,,,,
BSLSKF,SKINV510-521218     ,20200703.0,51052138753,Sebika Medical Hall,Hartapara Uttarpar Wazirpur                                 ,6962.79,,,,,,
BSLSKF,SKINV510-520963     ,20200703.0,90000024298,Maa Medical Hall,"Karimgonj, Lalmohan                                         ",6014.58,,,,,,
BSLSKF,SKINV510-520960     ,20200703.0,51052149966,Medicine House,Faraji Bazar Lalmohan Bhola                                 ,8060.93,,,,,,
BSLSKF,SKINV510-520741     ,20200703.0,51052134724,Nupur Medical Hall,Lakutia Barisal                                             ,7947.21,,,,,,
BSLSKF,SKINV510-520926     ,20200703.0,51052149830,Maa pharmacy,Chatla Bazar Bhola                                          ,10018.33,,,,,,
COMSKF,SKINV220-480274     ,20200703.0,90000008001,Maa Pharmacy   3,Brammmonchor  Bazar . Meghna                                ,15568.35,,,,,,
COMSKF,SKINV220-480190     ,20200703.0,22061006273,Alif Pharmacy,Muradnagar Comilla                                          ,10805.55,,,,,,
JESSKF,SKINV440-427807     ,20200703.0,44019001711,Joarder Pharmacy,Jamtola Thanamore Keshobpur Jessore                         ,20680.64,,,,,,
KRNSKF,SKINV280-358933     ,20200703.0,28013143956,Anika Pharmacy,"Atibazar,Keraniganj                                         ",10079.73,,,,,,
KRNSKF,SKINV280-358928     ,20200703.0,28013132344,Maa Baba Pharmacy,"Awna Bazer,Paragram                                         ",10026.47,,,,,,
KUSSKF,SKINV430-488364     ,20200703.0,90000001138,Tuhin Pharmacy,Purbasha Bazar                                              ,4939.28,,,,,,
KUSSKF,SKINV430-488199     ,20200703.0,90000029379,Joty Pharmacy,"Nohata Bazar,Mohammadpur                                    ",5107.32,,,,,,
MLVSKF,SKINV620-420041     ,20200703.0,90000032024,Maa Moni Pvt Hospital,Sreemongal Road Moulvibazar                                 ,21468.31,,,,,,
NAJSKF,SKINV130-531408     ,20200703.0,13030000539,Bilas pharmacy,"Boramokam, Munshiganj                                       ",10061.93,,,,,,
NAJSKF,SKINV130-531932     ,20200703.0,90000010517,Insaf Medical Hall,"Mintu Chattor,Saddam Market,Matuail,Dhaka                   ",10026.58,,,,,,
NAJSKF,SKINV130-531370     ,20200703.0,13010000867,Maa Sheba Clinic,Kalma Bazar Tongibari Munshiganj                            ,9013.19,,,,,,
NAJSKF,SKINV130-531696     ,20200703.0,13030152308,Altamonnesa Pharmacy,"Mridhabari Near Sarker Ph,Jatrabari.Dhaka                   ",5221.23,,,,,,
RNGSKF,SKINV330-429101     ,20200703.0,33091000168,Taher Medical Store,Dhap Rangpur                                                ,2356.06,,,,,,
SAVSKF,SKINV170-402632     ,20200703.0,1701501739,Shorna  Pharmacy,"Basta,Vadiakhola Bazar,Manikgonj                            ",9760.57,,,,,,
BSLSKF,SKINV510-520583     ,20200702.0,90000018287,Nur Pharmacy,"Paisarhat Notun Bazar,Agoiljhara.                           ",,10096.42,,,,,
BSLSKF,SKINV510-520259     ,20200702.0,51051009818,Mosharaf Medical Hall,Patarhat                                                    ,,30011.76,,,,,
COMSKF,SKINV220-479720     ,20200702.0,22061110247,Medicare Hospital,Jhwtola Comilla                                             ,,19078.17,,,,,
COMSKF,SKINV220-479627     ,20200702.0,22061003198,Chauddagram Pharmacy,Diabatic Hospital Road Bagichagown Comilla                  ,,12249.41,,,,,
COMSKF,SKINV220-479807     ,20200702.0,90000009076,Affan Sheba Pharmacy ,Solimgong Bazar                                             ,,11581.15,,,,,
COMSKF,SKINV220-479860     ,20200702.0,22061006331,Golap Bagum Medical Hall,Akanagar Salimgonj B Baria                                  ,,12319.99,,,,,
COMSKF,SKINV220-479573     ,20200702.0,22061001104,Madhaya General Hospital,Madhaya Bazar Comilla                                       ,,19980.58,,,,,
CTGSKF,SKINV210-672348     ,20200702.0,90000000467,Muradpur Pharmacy,"Banatoli,Borer Bazar,Mirarsarai                             ",,8008.73,,,,,
CTGSKF,SKINV210-672556     ,20200702.0,21021100205,Akhi Medical Hall,"Boro Takia Bazar,D.T. Road,Sitakundu, Chittagong            ",,5114.91,,,,,
CTGSKF,SKINV210-672013     ,20200702.0,90000012726,New Medicin Corner,Kalar Pool Santirhat                                        ,,6966.97,,,,,
CTGSKF,SKINV210-672289     ,20200702.0,21021009898,Maltrips  Pharmacy,"Sagarika Road 1st Line,Halishaher                           ",,10008.74,,,,,
FRDSKF,SKINV420-546228     ,20200702.0,42011136477,Joy Medical Hall,Near Cinema Hall Kanaipur Faridpur                          ,,4938.69,,,,,
FRDSKF,SKINV420-545982     ,20200702.0,42011138353,Bishwa Sukh Pharmacy,Satpar Bazar Gopalganj                                      ,,5043.39,,,,,
FRDSKF,SKINV420-546452     ,20200702.0,42011112138,Milon Pharmacy,Hos Gate Moksudpur                                          ,,11980.35,,,,,
GZPSKF,SKINV160-447771     ,20200702.0,90000034648,Maa Sebaloy,Bangal Gash Pubail Road                                     ,,9917.49,,,,,
GZPSKF,SKINV160-447665     ,20200702.0,90000035438,Bhai Bhai Pharmacy,Bimile Kader Market                                         ,,8136.56,,,,,
GZPSKF,SKINV160-447703     ,20200702.0,160180056724,K B Modern Hospital,Shafipur Shafipur Gazipur                                   ,,98672.79,,,,,
GZPSKF,SKINV160-447693     ,20200702.0,90000023707,Muktijuddha Hospital & Digital,Bangla Bazar                                                ,,29695.33,,,,,
HZJSKF,SKINV250-382027     ,20200702.0,25012101091,Maa Medical Hall,"Masnigacha Bazar, Kachua                                    ",,9776.9,,,,,
HZJSKF,SKINV250-381705     ,20200702.0,250614006488,Harun Medical Hall,BoroStation Chandpur                                        ,,5894.9,,,,,
JESSKF,SKINV440-427546     ,20200702.0,90000028143,Janani Medicine Shop,"Kolaroa Bazar, Satkhira                                     ",,20028.58,,,,,
JESSKF,SKINV440-427299     ,20200702.0,4401900313,Mohamaya Pharmacy,Ganna Bazar Kaligonj Jhenaidah                              ,,11972.92,,,,,
JESSKF,SKINV440-427221     ,20200702.0,44019004811,Sayef Medical,Sarsha Bazar Navaron                                        ,,10189.23,,,,,
JESSKF,SKINV440-427560     ,20200702.0,90000031801,Rajoni Pharmacy,"Benapole Bazar,Sharsha                                      ",,12650.3,,,,,
KHLSKF,SKINV410-426417     ,20200702.0,41037799674,Abid Medical Hall,KMCH Khulna                                                 ,,24221.89,,,,,
KHLSKF,SKINV410-426069     ,20200702.0,90000013956,Moni Medical Hall,"Gollamari, Khulna                                           ",,7987.96,,,,,
KHLSKF,SKINV410-426198     ,20200702.0,90000030174,Taher Medical Hall,Mowlobir Bazar Morelgonj Bagerhat                           ,,5107.86,,,,,
KHLSKF,SKINV410-426016     ,20200702.0,90000012225,Allardan Medical Hall,"Shaikhpura Bazar, Terokhada, Khulna.                        ",,3471.05,,,,,
KHLSKF,SKINV410-426229     ,20200702.0,90000009577,Seba Pharmacy,"Alir Bazar, Morelgonj, Bagerhat.                            ",,10035.61,,,,,
KUSSKF,SKINV430-487978     ,20200702.0,43061109654,Lata Pharmecy,High Road Alamdanga Alamdanga                               ,,31542.62,,,,,
MHKSKF,SKINV120-983147     ,20200702.0,12010507947,Mr Toshirul Islam,"Security Front desk,Eskayef Pharmaceuticals Limited, Opperat",,1867.29,,,,,
MHKSKF,SKINV120-983186     ,20200702.0,12010509731,Mr Abdul Awal,Deputy Manager ISA Dept Gulshan 2Dhaka                      ,,475.26,,,,,
MHKSKF,SKINV120-983192     ,20200702.0,90000005566,Mr Jahidul Islam Officer  Acco,"Transcom Distribution Co.Ltd,Mohakhali,Dhaka                ",,396.01,,,,,
MHKSKF,SKINV120-983178     ,20200702.0,90000038052,Mr.Aminul Islam Deputy Plannin,"Eskayef Pharmaceuticals Ltd.,Operational Headquarters,Plot #",,17301.35,,,,,
MHKSKF,SKINV120-983189     ,20200702.0,90000014310,Sima Akhter   ASO,"Sadar Road,Mohakhali,Dhaka                                  ",,352.04,,,,,
MHKSKF,SKINV120-983197     ,20200702.0,12010506337,Mr Golam Haider AGM , SK+F Pharmacuticals Ltd. Dhaka                             ,,624.85,,,,,
MHKSKF,SKINV120-983194     ,20200702.0,12010146469,Mr Arshad Waliur Rahman,DirectorTranscom Distribution CoLtdGulshan Tower            ,,2804.85,,,,,
MIRSKF,SKINV115-622907     ,20200702.0,90000002565,OFFICE SALES  TDCL MIRPUR ,"1/F, Darus Salam, Road Mirpur-01,Dhaka-1216                 ",,5685.86,,,,,
MLVSKF,SKINV620-420314     ,20200702.0,62020001219,Jalalabad Pharmacy,Juri Moulvibazar                                            ,,12950.72,,,,,
MLVSKF,SKINV620-420209     ,20200702.0,62020002511,Dr Gunomoy Biswas,Kirshno nogor  Juri                                         ,,4895.04,,,,,
MLVSKF,SKINV620-420114     ,20200702.0,62020002153,Islam Pharmacy,Somai Bazar Juri                                            ,,3685.83,,,,,
MLVSKF,SKINV620-420212     ,20200702.0,90000007304,Suvo Pharmacy,Dakshinbag Baralekha Moulvibazar                            ,,9991.82,,,,,
MYMSKF,SKINV140-423434     ,20200702.0,14013111680,Life Care Hospital,Charpara Mymensingh                                         ,,10000.0,,,,,
MYMSKF,SKINV140-423714     ,20200702.0,90000008280,TDCL   Office Sale ,"6, Atul Chakroborti Road Mymensingh                         ",,492.83,,,,,
NAJSKF,SKINV130-531067     ,20200702.0,90000025477,Rana Pharmacy,"Murapara Bazar,Rupganj,Narayanganj                          ",,10069.58,,,,,
NAJSKF,SKINV130-531011     ,20200702.0,130301379,Noor Pharmacy,Shahibazar Pagla Narayanganj                                ,,44926.54,,,,,
NAJSKF,SKINV130-531187     ,20200702.0,90000028418,Sonargaon Central Hospital,"Mugrapara Upazila Road, Sonargaon,Narayanganj               ",,51527.64,,,,,
PATSKF,SKINV520-305132     ,20200702.0,90000013542,R K MEDICAL HALL,"Aga Para, Taltoli                                           ",,14642.74,,,,,
PATSKF,SKINV520-305589     ,20200702.0,90000033426,Abdullah Medical Hall,Gabtola Taltoli Barguna                                     ,,11341.77,,,,,
PATSKF,SKINV520-305212     ,20200702.0,90000012442,Nahid Medical Hall ,Baherchar Rangabali                                         ,,14933.61,,,,,
PATSKF,SKINV520-305350     ,20200702.0,52052001294,Khan Medical Hall,Kachupatra Amtoli                                           ,,15003.14,,,,,
PATSKF,SKINV520-305182     ,20200702.0,90000017370,Nirmol Medical Hall,2 Number Bridge Patuakhali                                  ,,14974.76,,,,,
PBNSKF,SKINV350-314068     ,20200702.0,35035110002,Mizan Medical Hall,A H Road Pabna                                              ,,17625.88,,,,,
PBNSKF,SKINV350-314181     ,20200702.0,35035111613,Momotaj Pharmacy,Darabarisha Bazar                                           ,,3359.92,,,,,
RAJSKF,SKINV310-454019     ,20200702.0,31071000012,City Pharmacy,Shaheb Bazar Boalia Rajshahi                                ,,16168.09,,,,,
RNGSKF,SKINV330-429180     ,20200702.0,90000027339,Seaum Pharmacy,"Thana Road, Fulbari                                         ",,9994.76,,,,,
RNGSKF,SKINV330-428722     ,20200702.0,33091133589,Uzzal Drug House,Balarhat Balarhat                                           ,,4248.46,,,,,
RNGSKF,SKINV330-428724     ,20200702.0,33091134658,Seba Pharmacy,Balerhat Hulasugonj                                         ,,5042.91,,,,,
RNGSKF,SKINV330-428869     ,20200702.0,90000018044,Sorder Pharmacy,"C.O Bazar,Bodorgonj                                         ",,4981.05,,,,,
RNGSKF,SKINV330-428716     ,20200702.0,90000018698,Ava Medicine Corner,"Damurchakla Bazar,Pawtana                                   ",,4939.89,,,,,
SAVSKF,SKINV170-402138     ,20200702.0,1701501446,M R S P Pharmacy,"Mojitpur Chowrasta,Savar                                    ",,5041.21,,,,,
SAVSKF,SKINV170-402289     ,20200702.0,1701501098,Laila Drug House 2,"Pollibiddut,Dhamrai                                         ",,19073.26,,,,,
SAVSKF,SKINV170-402225     ,20200702.0,1701501082,Janota Pharmacy,"Water Kingdom 3 No Gate,Zamgora                             ",,9987.1,,,,,
TGLSKF,SKINV150-407628     ,20200702.0,15018003354,Habib Medical Hall,Gupalpur.Nandina                                            ,,8000.0,,,,,
VRBSKF,SKINV180-360672     ,20200702.0,90000026545,Meghna Medicine Corner,Bahadurpur Bus stand                                        ,,11980.25,,,,,
BOGSKF,SKINV320-473579     ,20200701.0,90000038006,HealthCare Clinic & Diagnostic,"Nandigram,Bogura                                            ",,29481.11,,,,,
BOGSKF,SKINV320-473647     ,20200701.0,32081100654,Nasima Medical Store,Hospital Gate Naogaon Town Naogaon                          ,,9536.93,,,,,
BSLSKF,SKINV510-520204     ,20200701.0,90000032101,RAZZAK PHARMACY ,TAKERHAT UP ROAD                                            ,,29535.02,,,,,
BSLSKF,SKINV510-520183     ,20200701.0,51011111845,Ha Meem Pharmacy,Charmuguria Bazar Madaripur                                 ,,19826.14,,,,,
COMSKF,SKINV220-479430     ,20200701.0,90000027477,Bismillah Pharmacy ,Alikhar More Sreemantapur                                   ,,11298.87,,,,,
COMSKF,SKINV220-479447     ,20200701.0,22061106753,Khidma Hospital,Gouripur Bazar Comilla                                      ,,43258.6,,,,,
COMSKF,SKINV220-479226     ,20200701.0,22061006607,Moon Medical Hall,Koneshtola Comilla                                          ,,7738.91,,,,,
CTGSKF,SKINV210-671688     ,20200701.0,90000013631,A M Medicine Centre,192/A Kusumbag R/A Kulshi                                   ,,14738.21,,,,,
FRDSKF,SKINV420-545741     ,20200701.0,42011136405,Tamanna Med Hall,Shalipur Bazar                                              ,,4985.21,,,,,
FRDSKF,SKINV420-545568     ,20200701.0,90000031651,Mridha Drug House,Domshar Bazar Shariatpur                                    ,,11823.86,,,,,
FRDSKF,SKINV420-545563     ,20200701.0,42011119050,Jamuna Medical Hall,"Babna Tola, Bhanga                                          ",,11955.28,,,,,
GZPSKF,SKINV160-447169     ,20200701.0,16010501210,Hosne Ara Pharmacy,Reya Garments Moor Dattapara                                ,,10762.77,,,,,
GZPSKF,SKINV160-447352     ,20200701.0,90000029206,Kohinur Medical Hall,Amraid Bazar                                                ,,14979.66,,,,,
GZPSKF,SKINV160-447137     ,20200701.0,90000007283,Faragi Pharmacy,Fakir Market Dewea                                          ,,17914.39,,,,,
HZJSKF,SKINV250-381634     ,20200701.0,25061401992,Kasem Medical Hall,"14 Gram Road Bypass, Laksham,Comilla                        ",,48933.36,,,,,
HZJSKF,SKINV250-381469     ,20200701.0,25061414272,Royal Pharmacy,"Railway Platfrom,Khila Bazar,Laksham,Comilla                ",,9677.13,,,,,
JESSKF,SKINV440-427011     ,20200701.0,44019001064,Friend s Clinic,Singhasol Bazar Gobra Narail                                ,,20420.27,,,,,
JESSKF,SKINV440-427020     ,20200701.0,90000037808,Rupkotha Rupontor Pharmacy,"Bou Bazar,Narail                                            ",,30353.44,,,,,
KHLSKF,SKINV410-425678     ,20200701.0,41037801348,Joty Health Care,Bonik Para Daulatpur Khulna                                 ,,14042.92,,,,,
KUSSKF,SKINV430-487358     ,20200701.0,43061109854,Jahan Pharmacy,Arpara Bazar Magura                                         ,,4811.89,,,,,
KUSSKF,SKINV430-487545     ,20200701.0,90000024326,Snigdha Pharmacy,"Kalibari More,Kumarkhali                                    ",,9809.22,,,,,
KUSSKF,SKINV430-487276     ,20200701.0,43061109231,Maa Medicine Center,Hospital Road Kumarkhali                                    ,,9666.43,,,,,
KUSSKF,SKINV430-487074     ,20200701.0,90000019176,Sagor Pharmacy,Poshu Hate Allardorga                                       ,,7000.85,,,,,
KUSSKF,SKINV430-487225     ,20200701.0,43061109232,Ela Medicine,"Alauddin Nogor Kumarkhali,Kushtia                           ",,4681.89,,,,,
MIRSKF,SKINV115-622370     ,20200701.0,90000031601,LP.CMH Dhaka Cantonment,"LP.CMH,Dhaka Cantonment,Dhaka                               ",,5515.0,,,,,
MOTSKF,SKINV110-978933     ,20200701.0,90000024978,ORTHO OPD DMCH,DMCH                                                        ,,77000.0,,,,,
NAJSKF,SKINV130-530618     ,20200701.0,13030099258,Sajida Hospital,"Shimrail Ctg Road,Siddhirganj,Narayanganj                   ",,95168.66,,,,,
NAJSKF,SKINV130-530563     ,20200701.0,13010102846,Rubel Pharmacy,Kalir bazar Narayongonj                                     ,,15115.34,,,,,
PBNSKF,SKINV350-313967     ,20200701.0,35035111363,Sarder Pharmacy,Chadmari Moor                                               ,,9836.57,,,,,
SAVSKF,SKINV170-401926     ,20200701.0,1701502318,Farzana Farmacy,"Bachamora,Doluthpur                                         ",,5034.21,,,,,
SAVSKF,SKINV170-401913     ,20200701.0,90000016714,Ibon Pharmacy ,"Sayabithi , Savar                                           ",,9779.79,,,,,
BSLSKF,SKINV510-519761     ,20200630.0,90000036584,Sukhi Medical Hall,"Bataingo More ,Natun Bazar,Charfassion.                     ",,19998.59,,,,,
BSLSKF,SKINV510-519252     ,20200630.0,51052141871,Siam Medical Hall,Parara Road Barisal                                         ,,10022.36,,,,,
BSLSKF,SKINV510-519546     ,20200630.0,90000027982,Taj Medical Hall,"Kashemgonj Bazar,Charfassion.                               ",,14603.95,,,,,
BSLSKF,SKINV510-519654     ,20200630.0,51052150029,Mahi Medical Hall,Balia High school Bhola                                     ,,4940.95,,,,,
BSLSKF,SKINV510-519254     ,20200630.0,90000036186,Popular Medicine Corner 1,"Bangla Bazar,Barisal                                        ",,6588.95,,,,,
BSLSKF,SKINV510-519454     ,20200630.0,51052107006,Amena Medical Hall,Shashibushon Charfashion Bhola                              ,,15003.08,,,,,
BSLSKF,SKINV510-519837     ,20200630.0,90000000880,Mehedi Medicine corner,Kirtipasha                                                  ,,4921.26,,,,,
BSLSKF,SKINV510-519145     ,20200630.0,90000021946,Khalid Medical Hall,"Ananda Bazar,Rajapur,Bhola.                                 ",,8346.42,,,,,
BSLSKF,SKINV510-519234     ,20200630.0,51051003882,Jibon Medical Hall,Kunjer Hat Bhola                                            ,,86225.63,,,,,
BSLSKF,SKINV510-519628     ,20200630.0,51051002076,Janani Medical Hall,Shekarpur Bandar Uzirpur                                    ,,14974.73,,,,,
BSLSKF,SKINV510-519066     ,20200630.0,51051004283,Maa Medical hall,Dath pur Paterhat Mehendigonj                               ,,6978.72,,,,,
BSLSKF,SKINV510-519825     ,20200630.0,51051100957,Shovan Medical Hall,Lord Harding Lalmohon                                       ,,9974.36,,,,,
BSLSKF,SKINV510-518999     ,20200630.0,51051001866,Bismillah Medical Hall,Ilisha Bhola                                                ,,3054.84,,,,,
BSLSKF,SKINV510-519583     ,20200630.0,90000024426,Master Medical Hall,"Musolman Pukurpar, Kachia, Borhanuddin                      ",,19922.58,,,,,
BSLSKF,SKINV510-519160     ,20200630.0,51052138812,Bhuyan Medical Hall,"Kasmua Bazar,Hizla Barisal                                  ",,6665.55,,,,,
BSLSKF,SKINV510-519312     ,20200630.0,90000036661,Mayer Doya Medical Hall,"Nachonmohol Bazar,Nalcity.                                  ",,10626.29,,,,,
BSLSKF,SKINV510-519864     ,20200630.0,90000036302,Jhalokathi Model Clinic,"Chandkhati Bazar,Jhalokhati.                                ",,69894.09,,,,,
BSLSKF,SKINV510-519699     ,20200630.0,51052139279,Master Pharmacy,Dapdopia Dapdopia Bakergonj                                 ,,18888.03,,,,,
BSLSKF,SKINV510-519255     ,20200630.0,90000036187,Popular Medicine Corner 2,"Bangla Bazar,Barisal                                        ",,4531.46,,,,,
BSLSKF,SKINV510-519215     ,20200630.0,90000004250,Modina Medical Hall,"Masterhat, Monpura                                          ",,9971.4,,,,,
BSLSKF,SKINV510-519251     ,20200630.0,51051000220,Aushadaloy,Kheya Ghat Borhanuddin Bhola                                ,,10023.66,,,,,
BSLSKF,SKINV510-519575     ,20200630.0,51052141048,Bony Amin Medical Hall,Bash Patty Jhalokathi                                       ,,10000.0,,,,,
BSLSKF,SKINV510-519224     ,20200630.0,90000019401,Lima Medical Hall,"Anisulmiar Hat,Lalmohan.                                    ",,4091.89,,,,,
COMSKF,SKINV220-479116     ,20200630.0,22061110075,Metropolitron Hospital,Sadar Hospital Road Comilla                                 ,,22232.08,,,,,
COMSKF,SKINV220-478928     ,20200630.0,22061003384,Nurpur Matrisondon,Telicona Comilla                                            ,,12135.78,,,,,
COMSKF,SKINV220-479108     ,20200630.0,90000037979,Eliotganj  General Hospital ,Eliotganj Bazar Daudkandi                                   ,,65253.21,,,,,
COMSKF,SKINV220-479118     ,20200630.0,22061003143,Sumon Medical Hall,Dr Harakrisna Gossami Kotombapur Bazar                      ,,29669.65,,,,,
COMSKF,SKINV220-478865     ,20200630.0,22061110951,New Life Hospital,Tomsom Bridge Comilla                                       ,,17111.64,,,,,
COMSKF,SKINV220-479103     ,20200630.0,22061110939,Appalo Hospital,Eliotgonj Bazer Daudkandi Comilla                           ,,72098.63,,,,,
COMSKF,SKINV220-478715     ,20200630.0,22061001385,ENT Medicine Corner,Laksham Road Comilla                                        ,,25951.97,,,,,
COMSKF,SKINV220-478838     ,20200630.0,22061110726,Sarker Medical Hall,Ariol Bazar Akahura                                         ,,8142.94,,,,,
COMSKF,SKINV220-479026     ,20200630.0,22061000342,M S  Bangal  Medical Hall,Kosba Bazar Kosba                                           ,,67715.42,,,,,
COMSKF,SKINV220-478955     ,20200630.0,22061006416,Bhuiyan Pharmacy,Maliga Hospital Shahrasti Goripur                           ,,5634.72,,,,,
CTGSKF,SKINV210-671123     ,20200630.0,90000013764,R A Medical Hall,2 No Mailer Matha Bandar                                    ,,11950.84,,,,,
CTGSKF,SKINV210-671371     ,20200630.0,90000012589,Ratan Medicin Center,"Farukia Madrasha Road,Mirarsarai                            ",,4654.13,,,,,
CTGSKF,SKINV210-670915     ,20200630.0,90000001716,Udoyan Pharmacy,"Barabkunda Bazar, Sitakunda                                 ",,6017.53,,,,,
